Lon;Lat
-3.69527382;40.39093103
-3.694600084;40.39047946
-3.693926347;40.39000736
-3.693001082;40.38974736
-3.692030902;40.38943947
-3.691096654;40.38913842
-3.690063591;40.38893315
-3.689021546;40.38878947
-3.68780882;40.38863894
-3.686587111;40.38844736
-3.685320487;40.38865947
-3.684152677;40.38885105
-3.682930968;40.38904947
-3.68168231;40.38952157
-3.680433652;40.39000736
-3.679310758;40.39043841
-3.678268712;40.39080103
-3.677289548;40.39138944
-3.676391233;40.39190942
-3.67535817;40.39251834
-3.674262226;40.39316146
-3.673256113;40.39383195
-3.672510511;40.39437243
-3.671863724;40.39511816
-3.671207954;40.39589125
-3.670489301;40.39678747
-3.669833531;40.3975879
-3.66906098;40.39853883
-3.668414193;40.39959236
-3.667803339;40.40061851
-3.667210451;40.40174726
-3.666689428;40.40295808
-3.666177388;40.40408679
-3.665692298;40.40514707
-3.665288056;40.40615946
-3.664856865;40.4071171
-3.664425673;40.40808158
-3.663958549;40.4091076
-3.663518375;40.41007204
-3.663042268;40.4109202
-3.662341582;40.4119667
-3.661685812;40.4129995
-3.661155806;40.41382709
-3.660616816;40.41464784
-3.659987996;40.41557117
-3.659556804;40.41630983
-3.659161546;40.41711003
-3.658829169;40.41780763
-3.658487809;40.4185873
-3.658586624;40.41923701
-3.658694422;40.41985936
-3.658811203;40.42055693
-3.658927984;40.42122715
-3.659062731;40.42195206
-3.659197478;40.42260174
-3.659314259;40.42321722
-3.65943104;40.42390109
-3.659556804;40.4245781
-3.659718501;40.42546027
-3.659907147;40.42645183
-3.660068844;40.42747073
-3.660239524;40.42857852
-3.66042817;40.42976834
-3.660580884;40.43093762
-3.660652749;40.43203167
-3.66042817;40.43311887
-3.660212575;40.43432228
-3.659979013;40.43549833
-3.659763417;40.43668803
-3.659475956;40.43798026
-3.65926036;40.43923145
-3.659026798;40.44050312
-3.659413074;40.44169957
-3.659880198;40.44288232
-3.66028444;40.44392832
-3.660706648;40.44496747
-3.661039025;40.445781
-3.661371401;40.44660819
-3.661721744;40.44751058
-3.662063104;40.44837877
-3.662413447;40.44928796
-3.66259311;40.45019031
-3.66276379;40.45107897
-3.66290752;40.45196079
-3.663087184;40.45291778
-3.66324888;40.45384742
-3.663437526;40.45479756
-3.663599223;40.45572717
-3.66376092;40.45662943
-3.663922617;40.45753168
-3.664030415;40.45822886
-3.664335842;40.45885085
-3.664650252;40.45950018
-3.665000595;40.46021784
-3.665306022;40.46086032
-3.665638399;40.46153013
-3.666006708;40.46219993
-3.666357051;40.46302009
-3.666734344;40.46377873
-3.667129602;40.46448268
-3.667596726;40.46524814
-3.668072833;40.46606142
-3.668450126;40.46668334
-3.668809452;40.46729158
-3.669267593;40.46805017
-3.669689801;40.46876092
-3.670345571;40.46958783
-3.671037274;40.47035322
-3.67171101;40.47111861
-3.672312881;40.47182249
-3.672744073;40.47230085
-3.673076449;40.47299104
-3.673480691;40.47383157
-3.673893916;40.47478825
-3.674163411;40.47581326
-3.674298158;40.47689291
-3.674396973;40.47791788
-3.674495788;40.47879251
-3.674334091;40.47981062
-3.674100529;40.48086971
-3.673849001;40.48203811
-3.673624422;40.48315183
-3.673480691;40.48386241
-3.674621552;40.48403322
-3.675888176;40.48391707
-3.677109885;40.48380092
-3.679167027;40.48358911
-3.681107388;40.48343196
-3.682904019;40.48281703
-3.684458104;40.48244807
-3.686137954;40.48283753
-3.688347809;40.48348662
-3.690674446;40.484409
-3.692884301;40.48524256
